,VideoID,Attention,Mediation,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,age,gender
9040,0.0,30.0,53.0,663488.0,13612.0,4235.0,6597.0,3517.0,3383.0,1980.0,1926.0,25,1
7933,1.0,0.0,0.0,1099789.0,392634.0,5562.0,26644.0,42895.0,164450.0,171048.0,41484.0,24,1
1113,8.0,81.0,43.0,1320378.0,207965.0,56278.0,27419.0,38836.0,58667.0,132921.0,14926.0,25,1
7831,0.0,0.0,0.0,1108064.0,244385.0,8302.0,83856.0,100325.0,138337.0,49377.0,80319.0,24,1
12167,4.0,43.0,47.0,1333612.0,78116.0,16458.0,41298.0,12523.0,19001.0,13488.0,2278.0,24,0
4989,8.0,11.0,54.0,697697.0,203187.0,15961.0,5557.0,17782.0,4987.0,1702.0,1482.0,28,0
6879,2.0,54.0,74.0,1545677.0,790080.0,167446.0,153877.0,119533.0,64777.0,26044.0,16125.0,24,1
6523,0.0,57.0,57.0,30072.0,49563.0,3517.0,4729.0,1241.0,3728.0,2946.0,402.0,24,1
5118,9.0,34.0,56.0,293280.0,47160.0,16365.0,8304.0,7563.0,2650.0,1107.0,1023.0,28,0
9599,4.0,38.0,30.0,630816.0,177262.0,34049.0,8206.0,7451.0,42984.0,85693.0,45175.0,25,1
4684,6.0,34.0,26.0,774252.0,671807.0,24202.0,50753.0,45600.0,30275.0,17850.0,5296.0,28,0
4099,1.0,70.0,43.0,222066.0,296845.0,17170.0,14686.0,5424.0,13382.0,3329.0,5734.0,28,0
565,4.0,51.0,47.0,568904.0,85724.0,5899.0,6281.0,8669.0,15487.0,10301.0,8420.0,25,1
11663,0.0,47.0,74.0,880351.0,72778.0,25661.0,30147.0,8746.0,29918.0,16762.0,2142.0,24,0
1803,4.0,54.0,61.0,122529.0,50731.0,29917.0,19379.0,6991.0,10896.0,6082.0,4593.0,24,1
9982,7.0,37.0,53.0,333215.0,233682.0,31076.0,4495.0,12258.0,64209.0,33997.0,21537.0,25,1
7633,9.0,40.0,83.0,58314.0,9359.0,16043.0,2443.0,1772.0,2204.0,3536.0,118.0,24,1
1642,2.0,53.0,63.0,352276.0,158028.0,44883.0,10303.0,10018.0,10324.0,2787.0,2724.0,24,1
6438,9.0,38.0,41.0,12448.0,3096.0,4476.0,3184.0,3883.0,3626.0,2188.0,1223.0,24,1
